10/05/2016 14:34:57 PM -- WARNING : The request timed out after five seconds. lcsh:Communism
10/05/2016 14:41:24 PM -- WARNING : 404 - resource not found ; tgm:Embryonic Stem Cells
10/05/2016 14:41:24 PM -- WARNING : 404 - resource not found ; tgm:crime
10/05/2016 14:41:24 PM -- WARNING : 404 - resource not found ; tgm:criminal
10/05/2016 14:41:26 PM -- WARNING : 404 - resource not found ; tgm:publishing
10/05/2016 14:41:27 PM -- WARNING : 404 - resource not found ; tgm:Organ donation
10/05/2016 14:41:27 PM -- WARNING : 404 - resource not found ; tgm:HIV
10/05/2016 14:41:27 PM -- WARNING : 404 - resource not found ; tgm:National Organ Transplant Act of 1984 (NOTA)
10/05/2016 14:41:28 PM -- WARNING : 404 - resource not found ; tgm:animal equality
10/05/2016 14:41:28 PM -- WARNING : 404 - resource not found ; tgm:human animals
10/05/2016 14:41:28 PM -- WARNING : 404 - resource not found ; tgm:rights
10/05/2016 14:41:28 PM -- WARNING : 404 - resource not found ; tgm:community
10/05/2016 14:41:28 PM -- WARNING : 404 - resource not found ; tgm:personhood
10/05/2016 15:55:16 PM -- WARNING : 404 - resource not found ; tgm:Greek Life
10/05/2016 15:55:16 PM -- WARNING : 404 - resource not found ; tgm:sorority life
10/05/2016 15:55:16 PM -- WARNING : 404 - resource not found ; tgm:bioethics
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:cognitive enhancement
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:cognitive enhancers
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:Birth
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:C-Section
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:VBAC
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:Obstetrics
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:vegan
10/05/2016 15:55:17 PM -- WARNING : 404 - resource not found ; tgm:vegetarian
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:animal rights
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:environment
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:accessibility
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:euthanasia
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:physician-assisted suicide
10/05/2016 15:55:18 PM -- WARNING : 404 - resource not found ; tgm:ethic
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:bioethics
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:categorical imperative
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:Greek Life
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:drug use
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:Kant
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:collegiate society
